Lemma;Haupteintrag;Wortart;Varianten;Werk;Band;Spalte;Zeile;IstVariante;ZusatzVhd;IstNachtrag;Nband;Nspalte;Nzeile
a;hay!;interj.;;;4;1043;8;1;;;;;
a1;;s.m.;;tl;1;1;1;0;1;0;1;1215;37
a2;;interj.;ha, ah, ha las!, hai las!, hay!, hé!;tl;1;1;17;0;1;0;1;1215;42
a3;;praep.;;tl;1;1;39;0;1;0;1;1215;43
aaatir;;v.;aatir;tl;1;25;32;0;1;0;1;1215;47
aacier;;v.;;tl;1;25;36;0;1;0;1;1215;48
äage;ëage;s.m. und f.;;;3;6;3;1;;;;;
äagier;ëagier;v.;;;3;9;12;1;;;;;
aaidier ;;v.;;tl;1;26;6;0;0;;;;
aaignier;;v.;aeignier;tl;1;26;9;0;0;;;;
aairier;;v.;;tl;1;26;16;0;1;0;1;1215;49
aaise1;;s.f.;;tl;1;26;37;0;1;0;1;1215;50
aaise2;;a.;;tl;1;26;48;0;1;0;1;1215;51
aaisement;;s.m.;;tl;1;27;1;0;1;0;1;1216;37
aaisier;;v.;haiesier;tl;1;27;17;0;1;0;1;1216;41
äaisier;haiesier;vb.;;;4;822;42;1;;;;;
aäison;;s.f.;;tl;1;28;39;0;1;0;1;1216;45
aamer;;v.;;tl;1;28;43;0;1;0;1;1216;46
aancrer;;v.;;tl;1;29;5;0;1;0;1;1216;47
aangler;;v.;aengler;tl;1;29;24;0;0;;;;
aarsin ;;a.;;tl;1;29;28;0;0;;;;
aasmance;;s.f.;;tl;1;29;32;0;0;;;;
aasprir;;v.;;tl;1;29;41;0;0;;;;
aat;;s.m.;;tl;1;29;44;0;0;;;;
aate;;a.;;tl;1;29;46;0;1;0;1;1216;48
aatie;;s.f.;;tl;1;30;25;0;1;0;1;1216;50
aatie;atie;s.f.;;;1;639;34;1;;;;;
aatiier;;v.;;tl;1;31;1;0;0;;;;
aatin;;s.m.;;tl;1;31;5;0;0;;;;
aatine;;s.f.;haitine;tl;1;31;8;0;1;0;1;1216;51
äatine;haitine;s.f.;;;4;852;44;1;;;;;
aatir;;v.;ahatir;tl;1;31;37;0;1;0;1;1216;52
aatir;aaatir;v.;;;1;25;32;1;;;;;
aatir;atir;v.;;;1;640;52;1;;;;;
aatise;;s.f.;;tl;1;33;34;0;1;0;1;1217;4
aatison;;s.f.;;tl;1;33;37;0;0;;;;
ab;o4;praep.;;;6;923;16;1;;;;;
abaater;;v.;;tl;1;33;41;0;1;0;1;1217;5
abac;;s.m.;abaque;tl;1;33;45;0;1;0;1;1217;6
abaeor;abaieor;s.m.;;;1;34;48;1;;;;;
abaer;;v.;;tl;1;33;52;0;1;0;1;1217;7
abaerresse;;s.f.;;tl;1;34;15;0;0;;;;
abai;;s.m.;esbai;tl;1;34;21;0;1;0;1;1217;8
abaiement;;s.m.;;tl;1;34;46;0;0;;;;
abaieor;;s.m.;abaeor;tl;1;34;48;0;1;0;1;1217;9
abaignier;;v.;;tl;1;34;52;0;0;;;;
abaiier;;v.;esbaiier;tl;1;35;4;0;1;0;1;1217;10
abaiiete;abavete;s.m.;;;1;43;23;1;;;;;
abaiieter;abeveter;v.;;;1;47;41;1;;;;;
abaillier;;v.;;tl;1;35;41;0;0;;;;
abaissance;;s.f.;;tl;1;35;46;0;0;;;;
abaissement;;s.m.;;tl;1;35;48;0;0;;;;
abaissier;;v.;;tl;1;35;50;0;0;;;;
abait;;s.m.;;tl;1;37;13;0;0;;;;
abaliier;;v.;;tl;1;37;14;0;1;0;1;1217;14
abander;;v.;;tl;1;37;18;0;1;0;1;1217;15
abandon;;s.m.;;tl;1;37;22;0;1;0;1;1217;16
abandonement;;s.m.;;tl;1;38;12;0;0;;;;
abandoneor;;s.m.;;tl;1;38;19;0;0;;;;
abandoner;;v.;;tl;1;38;21;0;1;0;1;1217;18
abaque;abac;s.m.;;;1;33;45;1;;;;;
abasser;;v.;;tl;1;39;39;0;0;;;;
abassorer;;v.;;tl;1;39;43;0;0;;;;
abastardir;;v.;;tl;1;39;46;0;0;;;;
abastir;;v.;;tl;1;39;52;0;1;0;1;1217;30
abastoné;;a.;;tl;1;40;7;0;0;;;;
abatage;;s.m.;;tl;1;40;13;0;0;;;;
abataillier;;v.;;tl;1;40;21;0;1;0;1;1217;31
abatëiz;;s.m.;;tl;1;40;27;0;1;0;1;1217;32
abatement;;s.m.;;tl;1;40;37;0;0;;;;
abatison;;s.f.;;tl;1;40;40;0;0;;;;
abat-quatre;;s.m.;;tl;1;40;44;0;0;;;;
abatre;;v.;;tl;1;40;49;0;1;0;1;1217;33
abaubir;;v.;;tl;1;42;42;0;1;0;1;1217;37
abavete;;s.m.;abaiiete;tl;1;43;23;0;1;0;1;1217;39
abaveter;abeveter;v.;;;1;47;41;1;;;;;
abc;;s.m.;;tl;1;43;26;0;1;0;1;1217;41
abé1;;s.m.;;tl;1;43;43;0;1;0;1;1217;42
abé2;;s.m.;;tl;1;44;8;0;1;0;1;1217;44
abeance;;s.f.;;tl;1;44;18;0;1;0;1;1217;46
abec;;s.m.;;tl;1;44;25;0;0;;;;
abecelaire;;s.m.;;tl;1;44;29;0;1;0;1;1217;47
abechier;;v.;;tl;1;44;36;0;1;0;1;1217;48
abechir;;v.;;tl;1;44;38;0;0;;;;
abeenge;;s.f.;;tl;1;44;41;0;0;;;;
abeesse;;s.f.;;tl;1;44;45;0;1;0;1;1217;49
abeie;;s.f.;abëie, abie;tl;1;45;7;0;1;0;1;1217;51
abëie;abeie;s.f.;;;1;45;7;1;;;;;
abeillage;;s.m.;;tl;1;45;32;0;0;;;;
abeille;;s.f.;;tl;1;45;36;0;1;0;1;1217;52
abelir;;v.;;tl;1;45;49;0;1;0;1;1218;3
abeneviser;;v.;;tl;1;46;14;0;1;0;1;1218;6
abenge;;s.f.;;tl;1;46;19;0;1;0;1;1218;8
abengete;;s.f.;;tl;1;46;27;0;1;0;1;1218;9
aberie;;s.f.;arberie;tl;1;46;33;0;1;0;1;1218;10
abesse;;s.f.;;tl;1;46;36;0;0;;;;
abestir;;v.;;tl;1;46;42;0;1;0;1;1218;11
abet;;s.m.;;tl;1;46;46;0;1;0;1;1218;12
abeteor;;s.m.;;tl;1;47;21;0;1;0;1;1218;13
abeter;;v.;;tl;1;47;24;0;1;0;1;1218;14
abetiiere;;s.m.;;tl;1;47;37;0;0;;;;
abeveter;;v.;abaveter, abaiieter;tl;1;47;41;0;1;0;1;1218;15
abevrage;;s.m.;;tl;1;48;2;0;1;0;1;1218;16
abevrement;;s.m.;;tl;1;48;9;0;1;0;1;1218;17
abevreoir;;s.m.;abevron;tl;1;48;12;0;1;0;1;1218;18
abevrer;;v.;;tl;1;48;22;0;1;0;1;1218;19
abevron;abevreoir;s.m.;;;1;48;12;1;;;;;
abider;abiter;v.;;;1;53;8;1;;;;;
abie;abeie;s.f.;;;1;45;7;1;;;;;
abïete;;s.f.;;tl;1;49;21;0;0;;;;
abigerie;aubigerie;s.f.;;;1;662;28;1;;;;;
abile;;a.;;tl;1;49;23;0;1;0;1;1218;22
abilité;;s.f.;;tl;1;49;30;0;1;0;1;1218;23
abiliter;;v.;;tl;1;49;34;0;1;0;1;1218;24
abillement;;s.m.;;tl;1;49;45;0;1;0;1;1218;25
abillier;;v.;habillier;tl;1;50;3;0;1;0;1;1218;26
abis;;s.m.;;tl;1;50;29;0;1;0;1;1218;30
abisme;;s.m. und f.;bisme;tl;1;50;34;0;1;0;1;1218;33
abit;;s.m.;habit;tl;1;51;22;0;1;0;1;1218;34
abitacion;;s.f.;;tl;1;52;16;0;1;0;1;1218;35
abitacle;;s.m. (auch f.);;tl;1;52;24;0;1;0;1;1218;36
abitance;;s.f.;;tl;1;52;38;0;0;;;;
abitant;;s.m.;;tl;1;52;42;0;0;;;;
abitator;;s.m.;;tl;1;52;47;0;0;;;;
abitement;;s.m.;;tl;1;52;49;0;0;;;;
abiteor;;s.m.;;tl;1;53;4;0;0;;;;
abiter;;v.;abider , habiter;tl;1;53;8;0;1;0;1;1218;37
abitüer;;v.;habitüer;tl;1;54;46;0;1;0;1;1218;41
ablai;;s.m.;;tl;1;55;1;0;1;0;1;1218;42
ablaiier;;v.;;tl;1;55;8;0;1;0;1;1218;43
ablandir;;v.;;tl;1;55;11;0;0;;;;
ablasmer;;v.;;tl;1;55;16;0;0;;;;
ablatif;;s.m.;;tl;1;55;19;0;0;;;;
able;hable;a.;;;4;811;3;1;;;;;
able1;;s.m.;havene;tl;1;55;21;0;1;0;1;1218;44
able2;;a.;;tl;1;55;23;0;1;0;1;1218;45
ablée ;;s.f.;;tl;1;55;44;0;1;0;1;1218;47
ableret;;s.m.;;tl;1;55;51;0;1;0;1;1218;48
ablochier;;v.;;tl;1;56;3;0;1;0;1;1218;50
abloqueler;;v.;;tl;1;56;6;0;0;;;;
abochier;;v.;;tl;1;56;9;0;0;;;;
aböeter;;v.;;tl;1;56;17;0;1;0;1;1218;51
abofer;;v.;;tl;1;56;29;0;0;;;;
abolir;;v.;;tl;1;56;33;0;1;0;1;1219;1
abome;;s.m.;;tl;1;56;37;0;0;;;;
abominable;;a.;;tl;1;56;46;0;0;;;;
abominacion;;s.f.;;tl;1;57;8;0;0;;;;
abominer;;v.;;tl;1;57;23;0;0;;;;
abommage;abonnage;s.m.;;;1;59;28;1;;;;;
abondance;;s.f.;;tl;1;57;33;0;1;0;1;1219;2
abonde;;s.f.;;tl;1;57;41;0;0;;;;
abondement;;s.m.;;tl;1;57;48;0;0;;;;
abonder;;v.;;tl;1;57;51;0;1;0;1;1219;5
abondir;;v.;;tl;1;59;6;0;0;;;;
abondos;;a.;abondose;tl;1;59;10;0;0;;;;
abondose;abondos;a.;;;1;59;10;1;;;;;
aboniage;abonnage;s.m.;;;1;59;28;1;;;;;
abonir;;v.;;tl;1;59;17;0;0;;;;
abonnage;;s.m.;aboniage, abommage;tl;1;59;28;0;0;;;;
abonner;;v.;;tl;1;59;33;0;1;0;1;1219;7
abooter;;v.;;tl;1;60;10;0;1;0;1;1219;8
aborder1;;v.;;tl;1;60;15;0;0;;;;
aborder2;;v.;;tl;1;60;24;0;0;;;;
aborgesir;;v.;;tl;1;60;31;0;0;;;;
aborrement;;s.m.;;tl;1;60;34;0;0;;;;
aborrer;;v.;;tl;1;60;39;0;0;;;;
abortir;avortir;v.;;;1;779;26;1;;;;;
aboschier;;v.;;tl;1;60;44;0;0;;;;
aboser;;v.;;tl;1;60;47;0;1;0;1;1219;10
abosme;;a.;;tl;1;61;1;0;0;;;;
abosmer;;v.;;tl;1;61;4;0;1;0;1;1219;11
abosmir;;v.;esbomi ;tl;1;61;40;0;0;;;;
abot1 ;;s.m.;;tl;1;61;49;0;0;;;;
abot2;;s.m.;;tl;1;62;1;0;0;;;;
abotage;;s.m.;;tl;1;62;14;0;0;;;;
aboter;;v.;;tl;1;62;17;0;1;0;1;1219;13
abotir;;v.;;tl;1;62;41;0;0;;;;
abracier;;v.;;tl;1;62;50;0;1;0;1;1219;15
abrander;;v.;;tl;1;63;1;0;1;0;1;1219;16
abrandir ;;v.;;tl;1;63;8;0;0;;;;
abrasement;;s.m.;;tl;1;63;13;0;0;;;;
abraser1;;v.;;tl;1;63;15;0;0;;;;
abraser2;;v.;;tl;1;63;20;0;1;0;1;1219;17
abregement;;s.m.;;tl;1;63;31;0;1;0;1;1219;18
abregier;;v.;;tl;1;63;36;0;1;0;1;1219;19
abrejance;;s.f.;;tl;1;64;10;0;0;;;;
abret;arbret;s.m.;;;1;497;34;1;;;;;
abreteschier;;v.;;tl;1;64;12;0;0;;;;
abrever;;v.;;tl;1;64;15;0;0;;;;
abreviier;;v.;;tl;1;64;24;0;0;;;;
abri;;s.m.;arbri;tl;1;64;31;0;1;0;1;1219;21
abriconer;;v.;;tl;1;64;40;0;1;0;1;1219;22
abrïement;;s.m.;;tl;1;65;1;0;0;;;;
abriever;;v.;;tl;1;65;4;0;0;;;;
abriever;abriver;v.;;;1;65;38;1;;;;;
abriier;;v.;;tl;1;65;9;0;1;0;1;1219;23
abrivement;;s.m.;;tl;1;65;36;0;0;;;;
abriver;;v.;abriever;tl;1;65;38;0;1;0;1;1219;24
abrochier;;v.;;tl;1;66;22;0;0;;;;
abroiier;;v.;;tl;1;66;27;0;1;0;1;1219;27
abruire ;;v.;;tl;1;66;32;0;0;;;;
abscondre;;v.;;tl;1;66;35;0;1;0;1;1219;28
absconse;;s.f.;;tl;1;66;38;0;0;;;;
abscous;escons;s.m.;;;3;959;24;1;;;;;
absence;;s.f.;;tl;1;66;42;0;1;0;1;1219;30
absent;;a.;;tl;1;66;45;0;1;0;1;1219;32
absentacion;;s.f.;;tl;1;66;49;0;0;;;;
absentement;absenter;v.;;;1;67;2;1;;;;;
absenter;;v.;absentement , senter;tl;1;67;2;0;1;0;1;1219;33
absicte;;s.f.;;tl;1;67;6;0;0;;;;
absince;;s.f.;;tl;1;67;10;0;1;0;1;1219;34
absolu;;a.;assolu;tl;1;67;13;0;0;;;;
absolucion;;s.f.;;tl;1;67;51;0;1;0;1;1219;35
absorde;absort;a.;;;1;68;9;1;;;;;
absort;;a.;absorde;tl;1;68;9;0;1;0;1;1219;37
abuisoner;;v.;;tl;1;68;11;0;1;0;1;1219;38
abuissail;;s.m.;;tl;1;68;22;0;0;;;;
abuissement;;s.m.;;tl;1;68;27;0;0;;;;
abuisser;;v.;abuschier;tl;1;68;37;0;1;0;1;1219;40
abuitier;abuter;v.;;;1;70;15;1;;;;;
abulleter;;v.;;tl;1;69;15;0;0;;;;
abus1 ;;s.m.;;tl;1;69;18;0;1;0;1;1219;41
abus2;;a.;;tl;1;69;21;0;1;0;1;1219;42
abusage;;s.m.;;tl;1;69;30;0;0;;;;
abuschier;abuisser;v.;;;1;68;37;1;;;;;
abuseor;;s.m.;;tl;1;69;37;0;0;;;;
abuser;;v.;;tl;1;69;38;0;1;0;1;1219;43
abusif;;a.;;tl;1;69;46;0;0;;;;
abusion;;s.f.;;tl;1;69;49;0;1;0;1;1219;46
abusquin;;s.m.;;tl;1;70;12;0;0;;;;
abuter;;v.;abuitier;tl;1;70;15;0;1;0;1;1219;47
abutiner;;v.;;tl;1;70;32;0;0;;;;
acanler;;v.;;tl;1;70;36;0;0;;;;
acaracion;;s.f.;;tl;1;70;44;0;0;;;;
acarier;;v.;;tl;1;70;48;0;1;0;1;1219;48
acasser;;v.;aquasser;tl;1;70;52;0;0;;;;
acate;agate;s.f.;;;1;206;52;1;;;;;
acati;;a.;;tl;1;71;6;0;1;0;1;1219;51
acatoner;;v.;;tl;1;71;15;0;1;0;1;1219;52
accent;acent;s.m.;;;1;76;17;1;;;;;
accepcion;;s.f.;;tl;1;71;21;0;1;0;1;1220;1
acceptable;;a.;acetable;tl;1;71;24;0;0;;;;
accès;;s.m.;;tl;1;71;43;0;1;0;1;1220;2
accide;acide;s.f.;;;1;85;30;1;;;;;
accident;;s.m.;;tl;1;72;2;0;1;0;1;1220;3
accidentel;;a.;;tl;1;72;22;0;1;0;1;1220;4
accion;;s.f.;;tl;1;72;24;0;1;0;1;1220;5
acconison;acuson;s.f.;;;1;133;8;1;;;;;
accuson;acuson;s.f.;;;1;133;8;1;;;;;
acee;acie;s.f.;;;1;85;46;1;;;;;
aceindre;;v.;;tl;1;72;44;0;1;0;1;1220;7
aceint;;s.m.;ascin, assin;tl;1;73;25;0;0;;;;
aceinte;;s.f.;;tl;1;73;32;0;0;;;;
aceinte;ceinte;s.f.;;;2;87;3;1;;;;;
aceleement;;adv;;tl;1;74;4;0;1;0;1;1220;9
acembeler;;v.;;tl;1;74;7;0;0;;;;
acenement;;s.m.;;tl;1;74;16;0;0;;;;
acener;;v.;;tl;1;74;21;0;1;0;1;1220;10
acengler;;v.;;tl;1;75;12;0;0;;;;
acense;;s.f.;;tl;1;75;18;0;0;;;;
acensement;;s.m.;;tl;1;75;23;0;0;;;;
acenseor;;s.m.;;tl;1;75;26;0;0;;;;
acenser;;v.;;tl;1;75;29;0;1;0;1;1220;11
acensie;;s.f.;;tl;1;75;40;0;0;;;;
acension;;s.f.;ascension, enscensïon, ensencïon;tl;1;75;43;0;0;;;;
acensir;;v.;racensir;tl;1;75;52;0;1;0;1;1220;14
acensissement;;s.m.;;tl;1;76;13;0;0;;;;
acent;;s.m.;accent;tl;1;76;17;0;1;0;1;1220;15
acenter;;v.;;tl;1;76;28;0;0;;;;
acentüer;;v.;;tl;1;76;33;0;0;;;;
acerbe;;a.;;tl;1;76;36;0;1;0;1;1220;16
acerer;;v.;racerer;tl;1;76;39;0;0;;;;
acerëure;;s.f.;racerure;tl;1;76;47;0;0;;;;
acerin;;a.;;tl;1;76;50;0;1;0;1;1220;17
acerois;;a;;tl;1;77;13;0;0;;;;
acerrer ;;v.;;tl;1;77;16;0;0;;;;
acertefiier;;v.;;tl;1;77;20;0;1;0;1;1220;18
acertener;;v.;;tl;1;77;25;0;1;0;1;1220;19
acerter;;v.;certer ;tl;1;77;33;0;1;0;1;1220;21
acesmement;;s.m.;;tl;1;77;51;0;0;;;;
acesmer;;v.;escesmer;tl;1;78;9;0;1;0;1;1220;22
acesmëure;;s.f.;;tl;1;79;14;0;0;;;;
acesser;;v.;;tl;1;79;18;0;0;;;;
acessoire;;s.m.;;tl;1;79;25;0;0;;;;
acessor;;s.m.;;tl;1;79;29;0;0;;;;
acetable;acceptable;a.;;;1;71;24;1;;;;;
achaabler;;v.;;tl;1;79;37;0;1;0;1;1220;24
achacier;;v.;;tl;1;79;41;0;0;;;;
achaillir;;v.;;tl;1;79;52;0;0;;;;
achaison;ochaison;s.f.;;;6;962;9;1;;;;;
achaisonement;ochoisonement;s.m.;;;6;968;34;1;;;;;
achaitiver;;v.;;tl;1;80;9;0;0;;;;
achalandé;;a.;;tl;1;80;17;0;0;;;;
achali;;a.;;tl;1;80;23;0;0;;;;
achamaillier;;v.;;tl;1;80;28;0;0;;;;
achant;;s.m.;;tl;1;80;31;0;1;0;1;1220;25
achanteler;;v.;;tl;1;80;35;0;1;0;1;1220;27
achanter;;v.;;tl;1;80;44;0;1;0;1;1220;28
achariier;;v.;;tl;1;81;4;0;1;0;1;1220;29
acharner;;v.;;tl;1;81;21;0;1;0;1;1220;31
achasteler;;v.;;tl;1;81;33;0;0;;;;
achastoner;;v.;;tl;1;81;40;0;0;;;;
achat;;s.m.;eschat;tl;1;81;43;0;0;;;;
achat;eschat;s.m.;;;3;869;22;1;;;;;
achatable;;a.;;tl;1;81;49;0;0;;;;
achatement;;s.m.;;tl;1;81;52;0;0;;;;
achateor;;s.m.;;tl;1;82;2;0;0;;;;
achater;;v.;chater, enchater;tl;1;82;10;0;1;0;1;1220;32
achater;enchater;v.;;;3;196;46;1;;;;;
ache;hache;s.f.;;;4;811;7;1;;;;;
ache1;;s.f.;;tl;1;83;33;0;0;;;;
ache2;;s.f.;;tl;1;83;37;0;1;0;1;1220;33
acheminer;;v.;;tl;1;83;47;0;1;0;1;1220;34
achener;;v.;;tl;1;84;9;0;0;;;;
achenir;;v.;;tl;1;84;15;0;0;;;;
achenüir;;v.;;tl;1;84;18;0;0;;;;
achevauchier;;v.;;tl;1;84;20;0;0;;;;
achevement;;s.m.;;tl;1;84;23;0;0;;;;
acheveor;;s.m.;;tl;1;84;28;0;0;;;;
achever;;v.;;tl;1;84;31;0;1;0;1;1220;36
achevir;;v.;;tl;1;85;18;0;1;0;1;1220;37
achiee;hachiee;s.f.;;;4;814;45;1;;;;;
a chief de foiz;chief1;s.m.;;;2;382;35;1;;;;;
achoisoner;ochoisoner;v.;;;6;968;38;1;;;;;
achoisonos;ochaisonos;a.;;;6;967;50;1;;;;;
acide;;s.f.;accide;tl;1;85;30;0;1;0;1;1220;38
acidios;;a.;;tl;1;85;40;0;1;0;1;1220;39
acie;;s.f.;acee;tl;1;85;46;0;1;0;1;1220;40
aciel;acier;s.m.;;;1;86;3;1;;;;;
acier;;s.m.;aciel;tl;1;86;3;0;1;0;1;1220;44
aclariier;;v.;;tl;1;86;21;0;0;;;;
aclarir;;v.;;tl;1;86;42;0;0;;;;
aclasser;;v.;;tl;1;87;1;0;1;0;1;1220;46
aclin;;a.;;tl;1;87;15;0;1;0;1;1220;48
aclineor;;s.m.;;tl;1;87;40;0;0;;;;
acliner;;v.;;tl;1;87;44;0;1;0;1;1220;49
acliqueter;;v.;;tl;1;88;26;0;0;;;;
aclore;;v.;;tl;1;88;30;0;0;;;;
aclosagier;;v.;;tl;1;88;36;0;0;;;;
acluchier;;v.;;tl;1;88;40;0;0;;;;
acoarder;;v.;;tl;1;88;45;0;1;0;1;1220;50
acoardir;;v.;;tl;1;88;50;0;1;0;1;1220;52
acochier;acouchier;v.;;;1;120;44;1;;;;;
acoder;acoter;v.;;;1;119;39;1;;;;;
acoignienture;;s.f.;;tl;1;89;12;0;0;;;;
acoil;acueil;s.m.;;;1;130;32;1;;;;;
acoillable;;a.;;tl;1;89;16;0;0;;;;
acoillance;;s.f.;;tl;1;89;19;0;0;;;;
acoillie;;s.f.;;tl;1;89;25;0;1;0;1;1221;1
acoillir;;v.;acueillir;tl;1;89;31;0;1;0;1;1221;2
acoilloit;;s.m.;;tl;1;91;5;0;0;;;;
acoilloite;;s.f.;;tl;1;91;16;0;0;;;;
acoint;;s.m.;;tl;1;91;21;0;0;;;;
acointable;;a.;;tl;1;92;27;0;1;0;1;1221;7
acointaison;;s.f.;;tl;1;92;31;0;0;;;;
acointance;;s.f.;;tl;1;92;34;0;1;0;1;1221;8
acointe1;;a., s.;;tl;1;92;52;0;1;0;1;1221;10
acointe2;;s.f.;;tl;1;93;18;0;1;0;1;1221;13
acointement;;s.m.;;tl;1;93;25;0;1;0;1;1221;14
acointer;;v.;;tl;1;93;45;0;1;0;1;1221;15
acointise;;s.f.;;tl;1;95;35;0;0;;;;
acoisier;;v.;aquisier;tl;1;95;43;0;1;0;1;1221;19
acolé;;s.m.;;tl;1;96;17;0;0;;;;
acolee;;s.f.;;tl;1;96;19;0;0;;;;
acolëiz;;s.m.;;tl;1;96;23;0;0;;;;
acoler;;v.;;tl;1;96;26;0;1;0;1;1221;20
acoler;encoler;v.;;;3;222;1;1;;;;;
acolite;;s.m.;;tl;1;97;22;0;0;;;;
acomblement;;s.m.;;tl;1;97;32;0;0;;;;
acombler;;v.;;tl;1;97;38;0;1;0;1;1221;21
acomblir ;;v.;;tl;1;97;46;0;0;;;;
acombrer ;;v.;;tl;1;97;52;0;0;;;;
acomencier;;v.;;tl;1;98;5;0;0;;;;
acomengier;acomunier;v.;;;1;100;37;1;;;;;
acompagnement;;s.m.;;tl;1;98;10;0;0;;;;
acompagnier;;v.;;tl;1;98;21;0;1;0;1;1221;22
acomparagier;;v.;;tl;1;99;9;0;1;0;1;1221;24
acomparer;;v.;;tl;1;99;16;0;0;;;;
acomplir;;v.;;tl;1;99;30;0;1;0;1;1221;25
acomplissable;;a.;;tl;1;100;5;0;0;;;;
acomplissement;;s.m.;;tl;1;100;10;0;1;0;1;1221;28
acomplisserresse;;s.f.;;tl;1;100;20;0;0;;;;
acomunaison;;s.f.;;tl;1;100;22;0;0;;;;
acomuner;;v.;;tl;1;100;25;0;1;0;1;1221;29
acomunier;;v.;acomengier;tl;1;100;37;0;1;0;1;1221;30
aconcoillir;;v.;;tl;1;100;52;0;0;;;;
aconduire;;v.;;tl;1;101;4;0;0;;;;
aconforter;;v.;;tl;1;101;20;0;0;;;;
aconite;;s.f.;;tl;1;101;22;0;0;;;;
aconjurer;;v.;;tl;1;101;24;0;0;;;;
aconoistre;;v.;;tl;1;101;29;0;1;0;1;1221;35
aconquerre;;v.;;tl;1;101;32;0;0;;;;
aconqueste;;s.f.;;tl;1;101;36;0;0;;;;
aconseillier;;v.;;tl;1;101;38;0;0;;;;
aconsivre;;v.;;tl;1;101;42;0;1;0;1;1221;37
acont;;s.m.;;tl;1;102;13;0;1;0;1;1221;38
acontage;;s.m.;;tl;1;102;20;0;0;;;;
aconte;;s.m.;;tl;1;102;23;0;1;0;1;1221;39
acontement;;s.m.;;tl;1;102;47;0;0;;;;
aconter;;v.;;tl;1;102;49;0;1;0;1;1221;40
acontre;;s.f.;;tl;1;104;19;0;0;;;;
acontrer;;v.;;tl;1;104;22;0;1;0;1;1221;41
açopail;;s.m.;;tl;1;104;26;0;0;;;;
acopart;;s.m.;;tl;1;104;31;0;1;0;1;1221;42
acopaudir;;v.;;tl;1;104;42;0;1;0;1;1221;45
açopement;;s.m.;;tl;1;104;45;0;0;;;;
açoper;;v.;assoper, esçoper;tl;1;104;48;0;0;;;;
acoper;acouper2;v.;;;1;122;1;1;;;;;
acoperie;acouperie;s.f.;;;1;122;11;1;;;;;
acopir;acoupir;v.;;;1;122;15;1;;;;;
acopler;;v.;;tl;1;105;42;0;0;;;;
acopler;encopler;v.;;;3;241;12;1;;;;;
acoqueter;;v.;;tl;1;106;35;0;0;;;;
acor;;s.m.;;tl;1;106;39;0;0;;;;
acoragier;;v.;;tl;1;106;51;0;0;;;;
acorber;;v.;;tl;1;107;30;0;0;;;;
acorbir;;v.;;tl;1;107;33;0;0;;;;
acorcement;;s.m.;;tl;1;107;41;0;0;;;;
acorcier;;v.;;tl;1;107;43;0;1;0;1;1221;47
acorcir;;v.;;tl;1;108;30;0;1;0;1;1221;48
acordable;;a.;;tl;1;108;42;0;0;;;;
acordance;;s.f.;;tl;1;108;49;0;1;0;1;1221;49
acorde;;s.f.;;tl;1;109;9;0;1;0;1;1221;52
acordee;;s.f.;;tl;1;109;24;0;0;;;;
acordement;;s.m.;;tl;1;109;26;0;1;0;1;1222;1
acorder;;v.;;tl;1;109;34;0;1;0;1;1222;3
acorderresse;;s.f.;;tl;1;111;17;0;0;;;;
acordoison;;s.f.;;tl;1;111;20;0;0;;;;
acorement;;s.m.;;tl;1;111;25;0;0;;;;
acorer;;v.;;tl;1;111;28;0;1;0;1;1222;6
acorner;;v.;;tl;1;113;12;0;0;;;;
acorneter;;v.;;tl;1;113;17;0;1;0;1;1222;7
acorre;;v.;;tl;1;113;21;0;1;0;1;1222;8
acors;;s.m.;;tl;1;113;51;0;1;0;1;1222;11
acorser;;v.;;tl;1;114;3;0;1;0;1;1222;12
acort;;s.m.;;tl;1;114;28;0;1;0;1;1222;13
acorter;;v.;;tl;1;115;29;0;1;0;1;1222;14
acortiner;;v.;;tl;1;115;34;0;0;;;;
acortir;;v.;;tl;1;115;37;0;0;;;;
acosdre;;v.;;tl;1;115;41;0;0;;;;
acosiner;;v.;;tl;1;116;1;0;0;;;;
acost;;s.m.;;tl;1;116;8;0;0;;;;
acostable;;a.;;tl;1;116;23;0;0;;;;
acoster;;v.;;tl;1;116;27;0;1;0;1;1222;15
acostoier;;v.;;tl;1;117;25;0;0;;;;
acostrer;;v.;acoutrer;tl;1;117;29;0;1;0;1;1222;17
acostumance;;s.f.;;tl;1;118;3;0;1;0;1;1222;18
acostumee;;s f.;;tl;1;118;15;0;1;0;1;1222;19
acostumement;;s.m.;;tl;1;118;18;0;0;;;;
acostumer;;v.;;tl;1;118;22;0;1;0;1;1222;20
acostumier;;v.;;tl;1;119;22;0;1;0;1;1222;21
acotement;;s.m.;;tl;1;119;35;0;0;;;;
acoter;;v.;acoder, acouter;tl;1;119;39;0;1;0;1;1222;22
acouchier;;v.;acochier;tl;1;120;44;0;1;0;1;1222;24
acoup;;s.m.;;tl;1;121;39;0;0;;;;
acouper1;;v.;;tl;1;121;43;0;1;0;1;1222;25
acouper2;;v.;acoper;tl;1;122;1;0;1;0;1;1222;26
acouperie;;s.f.;acoperie;tl;1;122;11;0;0;;;;
acoupir;;v.;acopir;tl;1;122;15;0;1;0;1;1222;28
acouter;acoter;v.;;;1;119;39;1;;;;;
acoutrer;acostrer;v.;;;1;117;29;1;;;;;
