page	entries	image	volume
1681	Boudin (Eugène); boue	2	4
1682	Boues de forage; Boues grenues; Boues floconneuses; Boues activées; Boues glaciaires; Bouffon[s] (querelle de[s])	3	4
1683	Bougainville (Louis Antoine de)	4	4
1684	bougie; Boukharine (Nikolaï Ivanovitch)	5	4
1685	Boukharine et les paysans; Boulanger (Georges)	6	4
1686	Bouleau	7	4
1687	Boulevard (théâtre du)	8	4
1688		9	4
1689		10	4
1690	Boulez (Pierre); Boulgakov (Mikhaïl Afanassievitch)	11	4
1691	Boulle (André Charles); Boulogne-sur-Mer	12	4
1692	Boulonnais	13	4
1693	Boumediene (Houari); Bounine (Ivan Alekseïevitch)	14	4
1694		15	4
1695	Bourbaki (Nicolas); Bourbon	16	4
1696	Bourbonnais	17	4
1697	Bourdelle (Antoine)	18	4
1698	Bourdon (Sébastien)	19	4
1699	Bourg-en-Bresse; bourgeoisie	20	4
1700		21	4
1701		22	4
1702		23	4
1703		24	4
1704		25	4
1705		26	4
1706		27	4
1707	bourgeonnement animal; Bourges	28	4
1708	Bourges, ville d’art; Bourgogne	29	4
1709		30	4
1710		31	4
1711		32	4
1712		33	4
1713	Bourgogne (dynastie de)	34	4
1714		35	4
1715	Bourguiba (Ḥabīb ibn ‘Alī); Bourguiba et le Front populaire	36	4
1716	Bourguiba et la Seconde Guerre mondiale; Bourguiba et les négociations de 1955-56	37	4
1717	Bournonville (August); Bourse de commerce	38	4
1718		39	4
1719		40	4
1720	Bourse de valeurs	41	4
1721		42	4
1722		43	4
1723		44	4
1724		45	4
1725	bouteillerie	46	4
1726		47	4
1727	Bouts (Dieric); Bovidé[s]	48	4
1728		49	4
1729	Bovin[s] ou Boviné[s]	50	4
1730		51	4
1731		52	4
1732		53	4
1733		54	4
1734	boxe	55	4
1735		56	4
1736	Boyle (sir Robert)	57	4
1737	Boyle physicien; Boyle chimiste; Brabant	58	4
1738	Brabant-Septentrional; Brachiopode[s]	59	4
1739	Brachiopodes actuels; Brachiopodes fossiles; Bradley (Omar)	60	4
1740	Bragance (dynastie de)	61	4
1741		62	4
1742	Brahe (Tycho); brahmanisme; Brahms (Johannes)	63	4
1743	Bramante	64	4
1744	Branchiopode[s]	65	4
1745	Brâncuşi (Constantin); Brandebourg	66	4
1746		67	4
1747	Brandes (Georg); Brandt (Willy)	68	4
1748	Branting (Hjalmar); Brantôme (Pierre de Bourdeille, seigneur de); Braque (Georges)	69	4
1749	bras; brasage	70	4
1750	Brasage par capillarité	71	4
1751	Brasília	72	4
1752	Bratislava	73	4
1753	Brauner (Victor)	74	4
1754	Brazza (Pierre Savorgnan de)	75	4
1755	Brazzaville; Brecht (Bertolt)	76	4
1756		77	4
1757		78	4
1758		79	4
1759		80	4
1760		81	4
1761	Breguet (Louis)	82	4
1762		83	4
1763	Brême	84	4
1764	Brésil	85	4
1765		86	4
1766		87	4
1767		88	4
1768		89	4
1769		90	4
1770		91	4
1771		92	4
1772		93	4
1773		94	4
1774		95	4
1775		96	4
1776		97	4
1777	BRÉSILIENNE (LITTÉRATURE)	98	4
1778		99	4
1779		100	4
1780	Bresson (Robert); Brest	101	4
1781		102	4
1782	Bretagne	103	4
1783		104	4
1784		105	4
1785		106	4
1786		107	4
1787	BRETAGNE (L'HISTOIRE DE LA)	108	4
1788		109	4
1789		110	4
1790	Breton (André)	111	4
1791	Breuer (Marcel)	112	4
1792	Breuer et le Bauhaus; brevet; Briand (Aristide)	113	4
1793	brique	114	4
1794		115	4
1795	Brisbane; Britten (Benjamin)	116	4
1796	Brive -la-Gaillarde; Brno; Broch (Hermann)	117	4
1797	brochage	118	4
1798		119	4
1799		120	4
1800	Brochet	121	4
1801	broderie; Broglie (de)	122	4
1802	Broglie (Louis, prince, puis duc de)	123	4
1803	Broglie; brome; Broméliacée[s]	124	4
1804	bronche[s]	125	4
1805	Brontë (les)	126	4
1806	bronze (âge du)	127	4
1807		128	4
1808		129	4
1809		130	4
1810		131	4
1811		132	4
1812	Brosse (Salomon de); brouillage; Brouillages naturels; Brouillages d’origine cosmique; Brouillages accidentels	133	4
1813	Brouillages volontaires; brouillard; Brouillard de rayonnement; Brouillard d’advection	134	4
1814	Brousse; Broussilov (Alekseï Alekseïevitch)	135	4
1815	Brouwer (Adriaen); Brown (Earle); Browning (Robert)	136	4
1816	brucellose[s]	137	4
1817	Bruckner (Anton); Bruegel (Pieter), dit Bruegel l’Ancien	138	4
1818		139	4
1819	Bruegel (Pieter II), dit Bruegel le Jeune ou Bruegel d’Enfer; Bruegel (Jan I), dit Breugel de Velours	140	4
1820	Bruges	141	4
1821	Bruges, ville d’art	142	4
1822		143	4
1823	brûlure[s]	144	4
1824	Brunei; Brunelleschi (Filippo)	145	4
1825	Bruno (saint); Bruno (Giordano)	146	4
1826	brut (art)	147	4
1827	Bruxelles	148	4
1828		149	4
1829		150	4
1830		151	4
1831	Bruxelles, ville d’art	152	4
1832	Bryophyte[s] ou Muscinée[s]	153	4
1833	Bryozoaire[s]	154	4
1834	Buber (Martin)	155	4
1835	Bucarest	156	4
1836	Bucarest, ville d’histoire et; Bucer (Martin)	157	4
1837	Buchez (Philippe); Büchner (Georg)	158	4
1838	Budapest	159	4
1839	budget	160	4
1840		161	4
1841		162	4
1842		163	4
1843		164	4
1844		165	4
1845		166	4
1846		167	4
1847		168	4
1848		169	4
1849	Buenos Aires	170	4
1850	Buenos Aires, centre d’art; Buffet (Bernard)	171	4
1851	Buffle; Buffon (Georges Louis Leclerc, comte de)	172	4
1852	Buffon maître de forges; Buffon géologue; Bugeaud (Thomas Robert)	173	4
1853	Bulgarie	174	4
